team,player,role,total_points,matches,raid_points,tackle_points,successful_raids,super_raids,successful_tackles,super_tackles,do_or_die_points,unsuccessful_raids,super_5s,avg_raid_pts_match,url,raid_success_rate,tackle_contribution,raid_contribution,profile
Pokhara Lakers,BHUPENDRA BOHARA,Raider,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/bhupendra-2,0.0,0.0,0.0,-
Pokhara Lakers,BHUWAN BOHORA,All Rounder,35.0,5.0,15.0,3.0,19.0,2.0,3.0,0.0,5.0,20.0,0.0,7.0,https://nepalkabaddileague.com/player/bhuwan-1,48.7,8.6,42.9,Balanced
Pokhara Lakers,Birendra Kunwar,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/birendra,0.0,0.0,0.0,-
Pokhara Lakers,JITENDRA AWASTHI,All Rounder,12.0,4.0,2.0,10.0,2.0,0.0,10.0,0.0,1.0,3.0,0.0,3.0,https://nepalkabaddileague.com/player/jitendra-1,40.0,83.3,16.7,Tackle-heavy
Pokhara Lakers,Kamal Giri,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/kamal,0.0,0.0,0.0,-
Pokhara Lakers,MD MONIRUL CHODHURY,All Rounder,26.0,5.0,8.0,10.0,11.0,1.0,8.0,1.0,0.0,4.0,0.0,5.2,https://nepalkabaddileague.com/player/md-monirul,73.3,38.5,30.8,Balanced
Pokhara Lakers,MD SABUZ MIA,Defender,5.0,5.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,https://nepalkabaddileague.com/player/md-sabuz,25.0,80.0,20.0,-
Pokhara Lakers,NAGESHOR THARU,Unknown,24.0,4.0,16.0,5.0,11.0,1.0,5.0,0.0,1.0,4.0,0.0,6.0,https://nepalkabaddileague.com/player/nageshor-1,73.3,20.8,66.7,-
Pokhara Lakers,PRADIP MIJAR,Raider,19.0,5.0,12.0,3.0,11.0,0.0,1.0,1.0,0.0,21.0,0.0,3.8,https://nepalkabaddileague.com/player/pradip-1,34.4,15.8,63.2,-
Pokhara Lakers,RABIN KUNWAR,All Rounder,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.67,https://nepalkabaddileague.com/player/rabin-2,14.3,0.0,50.0,Balanced
Pokhara Lakers,ROHAN SHRESTHA,Raider,4.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,https://nepalkabaddileague.com/player/rohan-1,50.0,0.0,100.0,-
Pokhara Lakers,SANDESH TAMANG,Unknown,9.0,4.0,3.0,1.0,6.0,0.0,1.0,0.0,3.0,5.0,0.0,2.25,https://nepalkabaddileague.com/player/sandesh-1,54.5,11.1,33.3,-
Pokhara Lakers,SARMAN PRAJAPATI,Raider,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,https://nepalkabaddileague.com/player/sarman-1,27.3,0.0,100.0,-
Pokhara Lakers,SUSHIL RAM LUHAR,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://nepalkabaddileague.com/player/sushil-ram-1,0.0,0.0,0.0,-
Kathmandu Mavericks,ALEX SAHANI,Unknown,3.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,https://nepalkabaddileague.com/player/alex-1,0.0,100.0,0.0,-
